CEP,Endereço,Pais
10512,"Carmel, NY", USA
10514,"Chappaqua, NY", USA
10516,"Cold Spring, NY", USA
10517,"Crompond, NY", USA
10518,"Cross River, NY", USA
10519,"Croton Falls, NY", USA
10520,"Croton On Hudson, NY", USA
10521,"Croton On Hudson, NY", USA
10522,"Dobbs Ferry, NY", USA
10523,"Elmsford, NY", USA
10524,"Garrison, NY", USA
10526,"Goldens Bridge, NY", USA
10527,"Granite Springs, NY", USA
10528,"Harrison, NY", USA
10530,"Hartsdale, NY", USA
10532,"Hawthorne, NY", USA
10533,"Irvington, NY", USA
10535,"Jefferson Valley, NY", USA
10536,"Katonah, NY", USA
10537,"Lake Peekskill, NY", USA
10538,"Larchmont, NY", USA
10540,"Lincolndale, NY", USA
10541,"Mahopac, NY", USA
10542,"Mahopac Falls, NY", USA
10543,"Mamaroneck, NY", USA
10545,"Maryknoll, NY", USA
10546,"Millwood, NY", USA
10547,"Mohegan Lake, NY", USA
10548,"Montrose, NY", USA
10549,"Mount Kisco, NY", USA
10550,"Mount Vernon, NY", USA
10551,"Mount Vernon, NY", USA
10552,"Mount Vernon, NY", USA
10553,"Mount Vernon, NY", USA
10560,"North Salem, NY", USA
10562,"Ossining, NY", USA
10566,"Peekskill, NY", USA
10567,"Cortlandt Manor, NY", USA
10570,"Pleasantville, NY", USA
10573,"Port Chester, NY", USA
10576,"Pound Ridge, NY", USA
10577,"Purchase, NY", USA
10578,"Purdys, NY", USA
10579,"Putnam Valley, NY", USA
10580,"Rye, NY", USA
10583,"Scarsdale, NY", USA
10587,"Shenorock, NY", USA
10588,"Shrub Oak, NY", USA
10589,"Somers, NY", USA
10590,"South Salem, NY", USA
10591,"Tarrytown, NY", USA
10594,"Thornwood, NY", USA
10595,"Valhalla, NY", USA
10596,"Verplanck, NY", USA
10597,"Waccabuc, NY", USA
10598,"Yorktown Heights, NY", USA
10601,"White Plains, NY", USA
10602,"White Plains, NY", USA
10603,"White Plains, NY", USA
10604,"West Harrison, NY", USA
10605,"White Plains, NY", USA
10606,"White Plains, NY", USA
10607,"White Plains, NY", USA
10610,"White Plains, NY", USA
10701,"Yonkers, NY", USA
10702,"Yonkers, NY", USA
10703,"Yonkers, NY", USA
10704,"Yonkers, NY", USA
10705,"Yonkers, NY", USA
10706,"Hastings On Hudson, NY", USA
10707,"Tuckahoe, NY", USA
10708,"Bronxville, NY", USA
10709,"Eastchester, NY", USA
10710,"Yonkers, NY", USA
10801,"New Rochelle, NY", USA
10802,"New Rochelle, NY", USA
10803,"Pelham, NY", USA
10804,"New Rochelle, NY", USA
10805,"New Rochelle, NY", USA
10901,"Suffern, NY", USA
10910,"Arden, NY", USA
10911,"Bear Mountain, NY", USA
10912,"Bellvale, NY", USA
10913,"Blauvelt, NY", USA
10914,"Blooming Grove, NY", USA
10915,"Bullville, NY", USA
10916,"Campbell Hall, NY", USA
10917,"Central Valley, NY", USA
10918,"Chester, NY", USA
10919,"Circleville, NY", USA
10920,"Congers, NY", USA
10921,"Florida, NY", USA
10922,"Fort Montgomery, NY", USA
10923,"Garnerville, NY", USA
10924,"Goshen, NY", USA
10925,"Greenwood Lake, NY", USA
10926,"Harriman, NY", USA
10927,"Haverstraw, NY", USA
10928,"Highland Falls, NY", USA
10930,"Highland Mills, NY", USA
10931,"Hillburn, NY", USA
10932,"Howells, NY", USA
10933,"Johnson, NY", USA
10940,"Middletown, NY", USA
10941,"Middletown, NY", USA
10949,"Monroe, NY", USA
10950,"Monroe, NY", USA
10952,"Monsey, NY", USA
10954,"Nanuet, NY", USA
10956,"New City, NY", USA
10958,"New Hampton, NY", USA
10959,"New Milford, NY", USA
10960,"Nyack, NY", USA
10962,"Orangeburg, NY", USA
10963,"Otisville, NY", USA
10964,"Palisades, NY", USA
10965,"Pearl River, NY", USA
10968,"Piermont, NY", USA
10969,"Pine Island, NY", USA
10970,"Pomona, NY", USA
10973,"Slate Hill, NY", USA
10974,"Sloatsburg, NY", USA
10975,"Southfields, NY", USA
10976,"Sparkill, NY", USA
10977,"Spring Valley, NY", USA
10979,"Sterling Forest, NY", USA
10980,"Stony Point, NY", USA
10981,"Sugar Loaf, NY", USA
10982,"Tallman, NY", USA
10983,"Tappan, NY", USA
10984,"Thiells, NY", USA
10985,"Thompson Ridge, NY", USA
10986,"Tomkins Cove, NY", USA
10987,"Tuxedo Park, NY", USA
10988,"Unionville, NY", USA
10989,"Valley Cottage, NY", USA
10990,"Warwick, NY", USA
10992,"Washingtonville, NY", USA
10993,"West Haverstraw, NY", USA
10994,"West Nyack, NY", USA
10996,"West Point, NY", USA
10997,"West Point, NY", USA
10998,"Westtown, NY", USA
11001,"Floral Park, NY", USA
11002,"Floral Park, NY", USA
11003,"Elmont, NY", USA
11004,"Glen Oaks, NY", USA
11005,"Floral Park, NY", USA
11010,"Franklin Square, NY", USA
11020,"Great Neck, NY", USA
11021,"Great Neck, NY", USA
11022,"Great Neck, NY", USA
11023,"Great Neck, NY", USA
11024,"Great Neck, NY", USA
11026,"Great Neck, NY", USA
11027,"Great Neck, NY", USA
11030,"Manhasset, NY", USA
11040,"New Hyde Park, NY", USA
11042,"New Hyde Park, NY", USA
11050,"Port Washington, NY", USA
11051,"Port Washington, NY", USA
11052,"Port Washington, NY", USA
11053,"Port Washington, NY", USA
11054,"Port Washington, NY", USA
11055,"Port Washington, NY", USA
11096,"Inwood, NY", USA
11099,"New Hyde Park, NY", USA
11101,"Long Island City, NY", USA
11102,"Astoria, NY", USA
11103,"Astoria, NY", USA
11104,"Sunnyside, NY", USA
11105,"Astoria, NY", USA
11106,"Astoria, NY", USA
11109,"Long Island City, NY", USA
11120,"Long Island City, NY", USA
11201,"Brooklyn, NY", USA
11202,"Brooklyn, NY", USA
11203,"Brooklyn, NY", USA
11204,"Brooklyn, NY", USA
11205,"Brooklyn, NY", USA
11206,"Brooklyn, NY", USA
11207,"Brooklyn, NY", USA
11208,"Brooklyn, NY", USA
11209,"Brooklyn, NY", USA
11210,"Brooklyn, NY", USA
11211,"Brooklyn, NY", USA
11212,"Brooklyn, NY", USA
11213,"Brooklyn, NY", USA
11214,"Brooklyn, NY", USA
11215,"Brooklyn, NY", USA
11216,"Brooklyn, NY", USA
11217,"Brooklyn, NY", USA
11218,"Brooklyn, NY", USA
11219,"Brooklyn, NY", USA
11220,"Brooklyn, NY", USA
11221,"Brooklyn, NY", USA
11222,"Brooklyn, NY", USA
11223,"Brooklyn, NY", USA
11224,"Brooklyn, NY", USA
11225,"Brooklyn, NY", USA
11226,"Brooklyn, NY", USA
11228,"Brooklyn, NY", USA
11229,"Brooklyn, NY", USA
11230,"Brooklyn, NY", USA
11231,"Brooklyn, NY", USA
11232,"Brooklyn, NY", USA
11233,"Brooklyn, NY", USA
11234,"Brooklyn, NY", USA
11235,"Brooklyn, NY", USA
11236,"Brooklyn, NY", USA
11237,"Brooklyn, NY", USA
11238,"Brooklyn, NY", USA
11239,"Brooklyn, NY", USA
11241,"Brooklyn, NY", USA
11242,"Brooklyn, NY", USA
11243,"Brooklyn, NY", USA
11245,"Brooklyn, NY", USA
11247,"Brooklyn, NY", USA
11249,"Brooklyn, NY", USA
11251,"Brooklyn, NY", USA
11252,"Brooklyn, NY", USA
11256,"Brooklyn, NY", USA
11351,"Flushing, NY", USA
11352,"Flushing, NY", USA
11354,"Flushing, NY", USA
11355,"Flushing, NY", USA
11356,"College Point, NY", USA
11357,"Whitestone, NY", USA
11358,"Flushing, NY", USA
11359,"Bayside, NY", USA
11360,"Bayside, NY", USA
11361,"Bayside, NY", USA
11362,"Little Neck, NY", USA
11363,"Little Neck, NY", USA
11364,"Oakland Gardens, NY", USA
11365,"Fresh Meadows, NY", USA
11366,"Fresh Meadows, NY", USA
11367,"Flushing, NY", USA
11368,"Corona, NY", USA
11369,"East Elmhurst, NY", USA
11370,"East Elmhurst, NY", USA
11371,"Flushing, NY", USA
11372,"Jackson Heights, NY", USA
11373,"Elmhurst, NY", USA
11374,"Rego Park, NY", USA
11375,"Forest Hills, NY", USA
11377,"Woodside, NY", USA
11378,"Maspeth, NY", USA
11379,"Middle Village, NY", USA
11380,"Elmhurst, NY", USA
11381,"Flushing, NY", USA
11385,"Ridgewood, NY", USA
11386,"Ridgewood, NY", USA
11390,"Flushing, NY", USA
11405,"Jamaica, NY", USA
11411,"Cambria Heights, NY", USA
11412,"Saint Albans, NY", USA
11413,"Springfield Gardens, NY", USA
11414,"Howard Beach, NY", USA
11415,"Kew Gardens, NY", USA
11416,"Ozone Park, NY", USA
11417,"Ozone Park, NY", USA
11418,"Richmond Hill, NY", USA
11419,"South Richmond Hill, NY", USA
11420,"South Ozone Park, NY", USA
11421,"Woodhaven, NY", USA
11422,"Rosedale, NY", USA
11423,"Hollis, NY", USA
11424,"Jamaica, NY", USA
11425,"Jamaica, NY", USA
11426,"Bellerose, NY", USA
11427,"Queens Village, NY", USA
11428,"Queens Village, NY", USA
11429,"Queens Village, NY", USA
11430,"Jamaica, NY", USA
11431,"Jamaica, NY", USA
11432,"Jamaica, NY", USA
11433,"Jamaica, NY", USA
11434,"Jamaica, NY", USA
11435,"Jamaica, NY", USA
11436,"Jamaica, NY", USA
11439,"Jamaica, NY", USA
11451,"Jamaica, NY", USA
11499,"Jamaica, NY", USA
11501,"Mineola, NY", USA
11507,"Albertson, NY", USA
11509,"Atlantic Beach, NY", USA
11510,"Baldwin, NY", USA
11514,"Carle Place, NY", USA
11516,"Cedarhurst, NY", USA
11518,"East Rockaway, NY", USA
11520,"Freeport, NY", USA
11530,"Garden City, NY", USA
11531,"Garden City, NY", USA
11542,"Glen Cove, NY", USA
11545,"Glen Head, NY", USA
11547,"Glenwood Landing, NY", USA
11548,"Greenvale, NY", USA
11549,"Hempstead, NY", USA
11550,"Hempstead, NY", USA
11551,"Hempstead, NY", USA
11552,"West Hempstead, NY", USA
11553,"Uniondale, NY", USA
11554,"East Meadow, NY", USA
11555,"Uniondale, NY", USA
11556,"Uniondale, NY", USA
11557,"Hewlett, NY", USA
11558,"Island Park, NY", USA
11559,"Lawrence, NY", USA
11560,"Locust Valley, NY", USA
11561,"Long Beach, NY", USA
11563,"Lynbrook, NY", USA
11565,"Malverne, NY", USA
11566,"Merrick, NY", USA
11568,"Old Westbury, NY", USA
11569,"Point Lookout, NY", USA
11570,"Rockville Centre, NY", USA
11571,"Rockville Centre, NY", USA
11572,"Oceanside, NY", USA
11575,"Roosevelt, NY", USA
11576,"Roslyn, NY", USA
11577,"Roslyn Heights, NY", USA
11579,"Sea Cliff, NY", USA
11580,"Valley Stream, NY", USA
11581,"Valley Stream, NY", USA
11582,"Valley Stream, NY", USA
11590,"Westbury, NY", USA
11596,"Williston Park, NY", USA
11597,"Westbury, NY", USA
11598,"Woodmere, NY", USA
11599,"Garden City, NY", USA
11690,"Far Rockaway, NY", USA
11691,"Far Rockaway, NY", USA
11692,"Arverne, NY", USA
11693,"Far Rockaway, NY", USA
11694,"Rockaway Park, NY", USA
11695,"Far Rockaway, NY", USA
11697,"Breezy Point, NY", USA
11701,"Amityville, NY", USA
11702,"Babylon, NY", USA
11703,"North Babylon, NY", USA
11704,"West Babylon, NY", USA
11705,"Bayport, NY", USA
11706,"Bay Shore, NY", USA
11707,"West Babylon, NY", USA
11709,"Bayville, NY", USA
11710,"Bellmore, NY", USA
11713,"Bellport, NY", USA
11714,"Bethpage, NY", USA
11715,"Blue Point, NY", USA
11716,"Bohemia, NY", USA
11717,"Brentwood, NY", USA
11718,"Brightwaters, NY", USA
11719,"Brookhaven, NY", USA
11720,"Centereach, NY", USA
11721,"Centerport, NY", USA
11722,"Central Islip, NY", USA
11724,"Cold Spring Harbor, NY", USA
11725,"Commack, NY", USA
11726,"Copiague, NY", USA
11727,"Coram, NY", USA
11729,"Deer Park, NY", USA
11730,"East Islip, NY", USA
11731,"East Northport, NY", USA
11732,"East Norwich, NY", USA
11733,"East Setauket, NY", USA
11735,"Farmingdale, NY", USA
11737,"Farmingdale, NY", USA
11738,"Farmingville, NY", USA
11739,"Great River, NY", USA
11740,"Greenlawn, NY", USA
11741,"Holbrook, NY", USA
11742,"Holtsville, NY", USA
11743,"Huntington, NY", USA
11746,"Huntington Station, NY", USA
11747,"Melville, NY", USA
11749,"Islandia, NY", USA
11750,"Huntington Statio, NY", USA
11751,"Islip, NY", USA
11752,"Islip Terrace, NY", USA
11753,"Jericho, NY", USA
11754,"Kings Park, NY", USA
11755,"Lake Grove, NY", USA
11756,"Levittown, NY", USA
11757,"Lindenhurst, NY", USA
11758,"Massapequa, NY", USA
11760,"Islandia, NY", USA
11762,"Massapequa Park, NY", USA
11763,"Medford, NY", USA
11764,"Miller Place, NY", USA
11765,"Mill Neck, NY", USA
11766,"Mount Sinai, NY", USA
11767,"Nesconset, NY", USA
11768,"Northport, NY", USA
11769,"Oakdale, NY", USA
11770,"Ocean Beach, NY", USA
11771,"Oyster Bay, NY", USA
11772,"Patchogue, NY", USA
11773,"Syosset, NY", USA
11775,"Melville, NY", USA
11776,"Port Jefferson Station, NY", USA
11777,"Port Jefferson, NY", USA
11778,"Rocky Point, NY", USA
11779,"Ronkonkoma, NY", USA
11780,"Saint James, NY", USA
11782,"Sayville, NY", USA
11783,"Seaford, NY", USA
11784,"Selden, NY", USA
11786,"Shoreham, NY", USA
11787,"Smithtown, NY", USA
11788,"Hauppauge, NY", USA
11789,"Sound Beach, NY", USA
11790,"Stony Brook, NY", USA
11791,"Syosset, NY", USA
11792,"Wading River, NY", USA
11793,"Wantagh, NY", USA
11794,"Stony Brook, NY", USA
11795,"West Islip, NY", USA
11796,"West Sayville, NY", USA
11797,"Woodbury, NY", USA
11798,"Wyandanch, NY", USA
11801,"Hicksville, NY", USA
11802,"Hicksville, NY", USA
11803,"Plainview, NY", USA
11804,"Old Bethpage, NY", USA
11815,"Hicksville, NY", USA
11819,"Hicksville, NY", USA
11853,"Jericho, NY", USA
11854,"Hicksville, NY", USA
11901,"Riverhead, NY", USA
11930,"Amagansett, NY", USA
11931,"Aquebogue, NY", USA
11932,"Bridgehampton, NY", USA
11933,"Calverton, NY", USA
11934,"Center Moriches, NY", USA
11935,"Cutchogue, NY", USA
11937,"East Hampton, NY", USA
11939,"East Marion, NY", USA
11940,"East Moriches, NY", USA
11941,"Eastport, NY", USA
11942,"East Quogue, NY", USA
11944,"Greenport, NY", USA
11946,"Hampton Bays, NY", USA
11947,"Jamesport, NY", USA
11948,"Laurel, NY", USA
11949,"Manorville, NY", USA
11950,"Mastic, NY", USA
11951,"Mastic Beach, NY", USA
11952,"Mattituck, NY", USA
11953,"Middle Island, NY", USA
11954,"Montauk, NY", USA
11955,"Moriches, NY", USA
11956,"New Suffolk, NY", USA
11957,"Orient, NY", USA
11958,"Peconic, NY", USA
11959,"Quogue, NY", USA
11960,"Remsenburg, NY", USA
11961,"Ridge, NY", USA
11962,"Sagaponack, NY", USA
11963,"Sag Harbor, NY", USA
11964,"Shelter Island, NY", USA
11965,"Shelter Island Heights, NY", USA
11967,"Shirley, NY", USA
11968,"Southampton, NY", USA
11969,"Southampton, NY", USA
11970,"South Jamesport, NY", USA
11971,"Southold, NY", USA
11972,"Speonk, NY", USA
11973,"Upton, NY", USA
11975,"Wainscott, NY", USA
11976,"Water Mill, NY", USA
11977,"Westhampton, NY", USA
11978,"Westhampton Beach, NY", USA
11980,"Yaphank, NY", USA
12007,"Alcove, NY", USA
12008,"Alplaus, NY", USA
12009,"Altamont, NY", USA
12010,"Amsterdam, NY", USA
12015,"Athens, NY", USA
12016,"Auriesville, NY", USA
12017,"Austerlitz, NY", USA
12018,"Averill Park, NY", USA
12019,"Ballston Lake, NY", USA
12020,"Ballston Spa, NY", USA
12022,"Berlin, NY", USA
12023,"Berne, NY", USA
12024,"Brainard, NY", USA
12025,"Broadalbin, NY", USA
12027,"Burnt Hills, NY", USA
12028,"Buskirk, NY", USA
12029,"Canaan, NY", USA
12031,"Carlisle, NY", USA
12032,"Caroga Lake, NY", USA
12033,"Castleton On Hudson, NY", USA
12035,"Central Bridge, NY", USA
12036,"Charlotteville, NY", USA
12037,"Chatham, NY", USA
12040,"Cherry Plain, NY", USA
12041,"Clarksville, NY", USA
12042,"Climax, NY", USA
12043,"Cobleskill, NY", USA
12045,"Coeymans, NY", USA
12046,"Coeymans Hollow, NY", USA
12047,"Cohoes, NY", USA
12050,"Columbiaville, NY", USA
12051,"Coxsackie, NY", USA
12052,"Cropseyville, NY", USA
12053,"Delanson, NY", USA
12054,"Delmar, NY", USA
12055,"Dormansville, NY", USA
12056,"Duanesburg, NY", USA
12057,"Eagle Bridge, NY", USA
12058,"Earlton, NY", USA
12059,"East Berne, NY", USA
12060,"East Chatham, NY", USA
12061,"East Greenbush, NY", USA
12062,"East Nassau, NY", USA
12063,"East Schodack, NY", USA
12064,"East Worcester, NY", USA
12065,"Clifton Park, NY", USA
12066,"Esperance, NY", USA
12067,"Feura Bush, NY", USA
12068,"Fonda, NY", USA
12069,"Fort Hunter, NY", USA
12070,"Fort Johnson, NY", USA
12071,"Fultonham, NY", USA
12072,"Fultonville, NY", USA
12073,"Gallupville, NY", USA
12074,"Galway, NY", USA
12075,"Ghent, NY", USA
12076,"Gilboa, NY", USA
12077,"Glenmont, NY", USA
12078,"Gloversville, NY", USA
12082,"Grafton, NY", USA
12083,"Greenville, NY", USA
12084,"Guilderland, NY", USA
12085,"Guilderland Center, NY", USA
12086,"Hagaman, NY", USA
12087,"Hannacroix, NY", USA
12089,"Hoosick, NY", USA
12090,"Hoosick Falls, NY", USA
12092,"Howes Cave, NY", USA
12093,"Jefferson, NY", USA
12094,"Johnsonville, NY", USA
12095,"Johnstown, NY", USA
12106,"Kinderhook, NY", USA
12107,"Knox, NY", USA
12108,"Lake Pleasant, NY", USA
12110,"Latham, NY", USA
12115,"Malden Bridge, NY", USA
12116,"Maryland, NY", USA
12117,"Mayfield, NY", USA
12118,"Mechanicville, NY", USA
12120,"Medusa, NY", USA
12121,"Melrose, NY", USA
12122,"Middleburgh, NY", USA
12123,"Nassau, NY", USA
12124,"New Baltimore, NY", USA
12125,"New Lebanon, NY", USA
12128,"Newtonville, NY", USA
12130,"Niverville, NY", USA
12131,"North Blenheim, NY", USA
12132,"North Chatham, NY", USA
12133,"North Hoosick, NY", USA
12134,"Northville, NY", USA
12136,"Old Chatham, NY", USA
12137,"Pattersonville, NY", USA
12138,"Petersburg, NY", USA
12139,"Piseco, NY", USA
12140,"Poestenkill, NY", USA
12141,"Quaker Street, NY", USA
12143,"Ravena, NY", USA
12144,"Rensselaer, NY", USA
12147,"Rensselaerville, NY", USA
12148,"Rexford, NY", USA
12149,"Richmondville, NY", USA
12150,"Rotterdam Junction, NY", USA
12151,"Round Lake, NY", USA
12153,"Sand Lake, NY", USA
12154,"Schaghticoke, NY", USA
12155,"Schenevus, NY", USA
12156,"Schodack Landing, NY", USA
12157,"Schoharie, NY", USA
12158,"Selkirk, NY", USA
12159,"Slingerlands, NY", USA
12160,"Sloansville, NY", USA
12161,"South Bethlehem, NY", USA
12164,"Speculator, NY", USA
12165,"Spencertown, NY", USA
12166,"Sprakers, NY", USA
12167,"Stamford, NY", USA
12168,"Stephentown, NY", USA
12169,"Stephentown, NY", USA
12170,"Stillwater, NY", USA
12172,"Stottville, NY", USA
12173,"Stuyvesant, NY", USA
12174,"Stuyvesant Falls, NY", USA
12175,"Summit, NY", USA
12176,"Surprise, NY", USA
12177,"Tribes Hill, NY", USA
12180,"Troy, NY", USA
12181,"Troy, NY", USA
12182,"Troy, NY", USA
12183,"Troy, NY", USA
12184,"Valatie, NY", USA
12185,"Valley Falls, NY", USA
12186,"Voorheesville, NY", USA
12187,"Warnerville, NY", USA
12188,"Waterford, NY", USA
12189,"Watervliet, NY", USA
12190,"Wells, NY", USA
12192,"West Coxsackie, NY", USA
12193,"Westerlo, NY", USA
12194,"West Fulton, NY", USA
12195,"West Lebanon, NY", USA
12196,"West Sand Lake, NY", USA
12197,"Worcester, NY", USA
12198,"Wynantskill, NY", USA
12201,"Albany, NY", USA
12202,"Albany, NY", USA
12203,"Albany, NY", USA
12204,"Albany, NY", USA
12205,"Albany, NY", USA
12206,"Albany, NY", USA
12207,"Albany, NY", USA
12208,"Albany, NY", USA
12209,"Albany, NY", USA
12210,"Albany, NY", USA
12211,"Albany, NY", USA
12212,"Albany, NY", USA
12214,"Albany, NY", USA
12220,"Albany, NY", USA
12222,"Albany, NY", USA
12223,"Albany, NY", USA
12224,"Albany, NY", USA
12225,"Albany, NY", USA
12226,"Albany, NY", USA
12227,"Albany, NY", USA
12228,"Albany, NY", USA
12229,"Albany, NY", USA
12230,"Albany, NY", USA
12231,"Albany, NY", USA
12232,"Albany, NY", USA
12233,"Albany, NY", USA
12234,"Albany, NY", USA
12235,"Albany, NY", USA
12236,"Albany, NY", USA
12237,"Albany, NY", USA
12238,"Albany, NY", USA
12239,"Albany, NY", USA
12240,"Albany, NY", USA
12241,"Albany, NY", USA
12242,"Albany, NY", USA
12243,"Albany, NY", USA
12244,"Albany, NY", USA
12245,"Albany, NY", USA
12246,"Albany, NY", USA
12247,"Albany, NY", USA
12248,"Albany, NY", USA
12249,"Albany, NY", USA
12250,"Albany, NY", USA
12252,"Albany, NY", USA
12255,"Albany, NY", USA
12256,"Albany, NY", USA
12257,"Albany, NY", USA
12260,"Albany, NY", USA
12261,"Albany, NY", USA
12288,"Albany, NY", USA
12301,"Schenectady, NY", USA
12302,"Schenectady, NY", USA
12303,"Schenectady, NY", USA
12304,"Schenectady, NY", USA
12305,"Schenectady, NY", USA
12306,"Schenectady, NY", USA
12307,"Schenectady, NY", USA
12308,"Schenectady, NY", USA
12309,"Schenectady, NY", USA
12325,"Schenectady, NY", USA
